City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Hotel Name
495,Praia,14.9215,-23.5087,77.54,73,40,16.11,scattered clouds,LT Aparthotel
496,Scottsbluff,41.8666,-103.6672,86.23,28,1,8.01,clear sky,Hampton Inn & Suites Scottsbluff-Conference Center
497,Platanos,37.6667,21.6167,77.56,47,0,4.83,clear sky,Hotel Kronio
498,Olinda,-8.0089,-34.8553,76.73,78,40,5.75,scattered clouds,Hotel Albergue de Olinda
503,Zlitan,32.4674,14.5687,80.29,83,0,4.72,clear sky,القسم الداخلي للجامعة الأسمرية
504,Tezu,27.9167,96.1667,75.56,99,100,4.36,overcast clouds,Circuit House
509,Shimoda,34.6667,138.95,78.91,86,100,16.82,moderate rain,Shimoda Tokyu Hotel
516,Sao Joao Do Piaui,-8.3581,-42.2467,76.64,41,4,5.88,clear sky,Nayra Palace Hotel
517,Bengkulu,-3.8004,102.2655,75.74,80,100,3.51,overcast clouds,Grage Hotel Bengkulu
518,Pedernales,18.0384,-71.744,82.94,73,100,6.91,overcast clouds,Hotel Costa Marina
525,Waingapu,-9.6567,120.2641,84.06,67,10,14.45,clear sky,Pondok Wisata Elim
526,Sur,22.5667,59.5289,86.5,61,89,5.08,overcast clouds,Sur Plaza Hotel
528,Clayton,33.5335,-84.3666,86.92,80,75,9.22,thunderstorm,Royal Inn
532,Nishihara,26.1842,127.7558,83.86,89,75,14.97,broken clouds,Minshuku Agaihama
551,Bintulu,3.1667,113.0333,75.61,100,40,0.0,moderate rain,900 Boutique INN
552,Poso,-1.3959,120.7524,84.67,64,33,2.33,scattered clouds,Hotel 77 Poso
557,Ariquemes,-9.9133,-63.0408,78.35,40,5,2.71,clear sky,Hotel Sol Nascente - Ariquemes - RO
564,Marsa Matruh,31.3525,27.2453,80.8,78,0,6.91,clear sky,Beau Site
567,Yenotayevka,47.2456,47.0281,79.61,51,100,16.11,overcast clouds,Hotel Voyage
568,Miro Khan,27.7599,68.0921,80.71,63,12,8.12,few clouds,Mukhtiar Dayo
570,Road Town,18.4167,-64.6167,82.2,79,100,21.32,overcast clouds,"ZINGARA 76ft Catamaran, full crew-all included"
571,Abu Kamal,34.4506,40.9171,88.66,24,0,2.89,clear sky,محطة التلفاز
573,Huntsville,34.7304,-86.5861,83.53,81,1,5.01,clear sky,Embassy Suites by Hilton Huntsville Hotel & Spa
575,Coahuayana,18.7333,-103.6833,81.01,82,43,3.56,scattered clouds,El rranchito michuacan de ocampos
576,Lengshuitan,26.4111,111.5956,87.13,66,89,8.37,overcast clouds,Jialong Hotel
580,Black River,18.0264,-77.8487,82.4,81,100,6.93,overcast clouds,Idlers' Rest Beach Hotel
581,Morehead,37.2711,-87.1764,87.51,75,1,0.0,clear sky,CCI Express Inn
586,Payo,-3.7508,103.6372,77.32,62,100,1.21,overcast clouds,Mess keban agung
589,Kudahuvadhoo,2.6708,72.8944,82.72,72,100,16.67,overcast clouds,Niyama Private Islands Maldives
591,Jacmel,18.2342,-72.5347,84.04,82,96,3.36,overcast clouds,Historic Hotel Florita
593,San Policarpo,12.1791,125.5072,83.12,75,100,1.59,overcast clouds,Manong Aklan Resort
594,Taybad,34.74,60.7756,77.0,20,0,11.61,clear sky,لی پوش jean center
595,Harper,4.375,-7.7169,76.96,78,100,13.56,overcast clouds,Screensaver
600,Darnah,32.767,22.6367,79.41,81,0,6.26,clear sky,فندق الفردوس
601,Timizart,36.8,4.2667,86.22,20,0,6.76,clear sky,yefssah restaurant
602,Matay,28.419,30.7792,83.95,41,0,8.43,clear sky,Nag Aespen
603,Ambagarh Chauki,20.7833,80.7167,76.82,86,97,5.77,overcast clouds,Hunesh kunjam home ....
611,Abu Zabad,12.35,29.25,76.1,75,74,5.55,broken clouds,حامد محمد نور
612,Makakilo City,21.3469,-158.0858,89.92,48,40,11.5,scattered clouds,Marriott's Ko Olina Beach Club
613,Hambantota,6.1241,81.1185,77.34,88,75,4.61,broken clouds,Bungalow 63
614,Belmopan,17.25,-88.7667,85.28,78,0,3.58,clear sky,Villa San Juan
616,Yashkul,46.1711,45.3435,81.19,59,100,8.12,overcast clouds,Bon Voyazh
621,Griffith,41.5284,-87.4237,78.98,74,1,1.99,clear sky,"Motel 6 Hammond, IN - Chicago Area"
624,Karera,25.4667,78.15,78.67,81,100,10.87,overcast clouds,साहू चाट कार्नर
627,Bonoua,5.2741,-3.595,78.42,82,100,6.78,overcast clouds,Hotel Bon Samaritian
634,Banda Aceh,5.5577,95.3222,80.56,76,77,9.86,broken clouds,Sulthan Hotel International
638,Auki,-8.7676,160.7034,75.0,94,100,3.15,overcast clouds,Auki Motel
639,Mersing,2.4312,103.8405,75.11,94,40,3.44,scattered clouds,Timotel Hotel
640,Galveston,29.3669,-94.9669,88.95,77,8,1.01,clear sky,Comfort Inn & Suites Texas City
641,Luancheng,37.8792,114.6517,77.16,79,58,2.48,broken clouds,Shell Hebei Shijiazhuang Luancheng Xinyuan Road Hotel
643,Culiacan,24.7994,-107.3897,87.64,67,79,7.36,broken clouds,Ramada by Wyndham Hola Culiacan
644,Bontang,0.1333,117.5,78.4,85,100,1.97,light rain,KOPKAR Hotel Bintang Sintuk
647,Cockburn Town,21.4612,-71.1419,82.36,78,75,13.8,broken clouds,Osprey Beach Hotel
648,Champerico,14.3,-91.9167,84.74,73,31,2.93,scattered clouds,"Hotel y restaurante ""El Diamante"""
655,Teahupoo,-17.8333,-149.2667,76.96,72,3,13.04,clear sky,Vanira Lodge
660,Moradabad,28.8333,78.7833,82.51,72,100,0.25,overcast clouds,SPOT ON 37757 Hotel Paradise
661,Thanh Hoa,19.8,105.7667,82.33,82,100,3.65,overcast clouds,KHÁCH SẠN NGỌC LY 8
662,Ugoofaaru,5.6667,73.0,82.53,71,100,16.87,overcast clouds,Ungoofaaru Inn
666,Bubaque,11.2833,-15.8333,79.77,78,82,7.52,broken clouds,"Casa Dora, Bubaque"
667,Hurghada,27.2574,33.8129,89.64,20,0,9.22,clear sky,Sea Star Beau Rivage Hotel
674,North Bend,43.4065,-124.2243,80.24,88,1,12.66,clear sky,Red Lion Hotel Coos Bay
676,Lakeside,30.13,-81.7682,84.11,80,1,1.01,haze,Whitey's Fish Camp
677,Na Klang,17.3072,102.1889,78.85,86,100,2.57,overcast clouds,สบายดี รีสอร์ท (อ.นากลาง จ.หนองบัวลำภู)
678,Labuan,5.2767,115.2417,80.96,94,20,0.0,few clouds,Tiara Labuan Hotel
679,Sampit,-2.5333,112.95,80.73,78,24,4.09,few clouds,Aquarius Boutique Hotel Sampit
680,Erzin,36.9559,36.2,79.0,69,0,1.86,clear sky,Artemis Otel
685,Sabha,27.0377,14.4283,88.63,15,0,11.01,clear sky,Foundation Taaj Asala for Historical Research and Archeology
686,Sibolga,1.7427,98.7792,78.13,84,82,1.92,broken clouds,Hotel Syariah CN Darussalam
687,Buala,-8.145,159.5921,76.91,92,100,10.74,moderate rain,Maringe Lagoon Lodge
688,Bartica,6.4,-58.6167,77.32,98,100,1.28,overcast clouds,Sloth Island Nature Resort
691,Andros Town,24.7,-77.7667,82.36,71,10,16.24,clear sky,Hanks place
